id,file,Component,Smell,Details,"Em uma escala de 1 a 5, como você avalia a relevância desse smell?
1 = smell não é importante e, provavelmente, não será refatorado
5 = smell é muito importante e, provavelmente, será refatorado em breve.",Observação
1,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/lib/create-icon-set.js,Icon,Large Component,LOC: 48; Number of props: 17; Number of attributes: 2; Number of methods: 9,,
2,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/lib/create-icon-set.js,Icon,Too many props,"Number of props: 17; Props: windows,android,web,default,size,allowFontScaling,name,color,style,children,fontSize,fontFamily,fontWeight,fontStyle,ref,uri,scale",,
3,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/commonjs/navigators/createBottomTabNavigator.js,BottomTabNavigator,Large Component,LOC: 69; Number of props: 26; Number of attributes: 0; Number of methods: 0,,
4,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/commonjs/navigators/createBottomTabNavigator.js,BottomTabNavigator,Too many props,"Number of props: 26; Props: id,initialRouteName,backBehavior,children,screenListeners,screenOptions,sceneContainerStyle,lazy,tabBarOptions,tabBarHideOnKeyboard,tabBarActiveTintColor,tabBarInactiveTintColor,tabBarActiveBackgroundColor,tabBarInactiveBackgroundColor,tabBarAllowFontScaling,tabBarShowLabel,tabBarLabelStyle,tabBarIconStyle,tabBarItemStyle,tabBarLabelPosition,tabBarStyle,state,descriptors,navigation,NavigationContent,defaultScreenOptions",,
5,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/commonjs/views/BottomTabView.js,BottomTabView,Large Component,LOC: 109; Number of props: 26; Number of attributes: 0; Number of methods: 1,,
6,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/commonjs/views/BottomTabView.js,BottomTabView,Too many props,"Number of props: 26; Props: tabBar,state,navigation,descriptors,safeAreaInsets,detachInactiveScreens,sceneContainerStyle,dimensions,layout,insets,style,routes,enabled,hasTwoStates,lazy,unmountOnBlur,freezeOnBlur,header,headerShown,headerStatusBarHeight,headerTransparent,key,visible,value,focused,route",,
7,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/module/views/BottomTabBar.js,BottomTabBar,Large Component,LOC: 204; Number of props: 54; Number of attributes: 0; Number of methods: 3,,
8,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/module/views/BottomTabBar.js,BottomTabBar,Too many props,"Number of props: 54; Props: state,navigation,descriptors,insets,style,colors,tabBarShowLabel,tabBarHideOnKeyboard,tabBarVisibilityAnimationConfig,tabBarStyle,tabBarBackground,tabBarActiveTintColor,tabBarInactiveTintColor,tabBarActiveBackgroundColor,tabBarInactiveBackgroundColor,finished,height,width,routes,dimensions,layout,pointerEvents,onLayout,accessibilityRole,options,type,target,canPreventDefault,name,merge,key,value,route,descriptor,focused,horizontal,onPress,onLongPress,accessibilityLabel,to,testID,allowFontScaling,activeTintColor,inactiveTintColor,activeBackgroundColor,inactiveBackgroundColor,button,icon,badge,badgeStyle,label,showLabel,labelStyle,iconStyle",,
9,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/module/views/BottomTabItem.js,BottomTabBarItem,Large Component,LOC: 140; Number of props: 35; Number of attributes: 0; Number of methods: 2,,
10,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/module/views/BottomTabItem.js,BottomTabBarItem,Too many props,"Number of props: 35; Props: focused,route,descriptor,label,icon,badge,badgeStyle,to,button,accessibilityLabel,testID,onPress,onLongPress,horizontal,activeTintColor,inactiveTintColor,activeBackgroundColor,inactiveBackgroundColor,showLabel,allowFontScaling,labelStyle,iconStyle,style,colors,numberOfLines,options,color,position,children,activeOpacity,inactiveOpacity,renderIcon,accessibilityRole,accessibilityState,accessibilityStates",,
11,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/module/views/TabBarIcon.js,TabBarIcon,Large Component,LOC: 41; Number of props: 14; Number of attributes: 0; Number of methods: 0,,
12,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/module/views/TabBarIcon.js,TabBarIcon,Too many props,"Number of props: 14; Props: route,horizontal,badge,badgeStyle,activeOpacity,inactiveOpacity,activeTintColor,inactiveTintColor,renderIcon,style,focused,size,color,visible",,
13,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/src/views/BottomTabBar.tsx,BottomTabBar,Large Component,LOC: 251; Number of props: 35; Number of attributes: 0; Number of methods: 3,,
14,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/src/views/BottomTabBar.tsx,BottomTabBar,Too many props,"Number of props: 35; Props: state,navigation,descriptors,insets,style,colors,tabBarShowLabel,tabBarHideOnKeyboard,tabBarVisibilityAnimationConfig,tabBarStyle,tabBarBackground,tabBarActiveTintColor,tabBarInactiveTintColor,tabBarActiveBackgroundColor,tabBarInactiveBackgroundColor,finished,height,width,routes,dimensions,layout,backgroundColor,borderTopColor,transform,position,paddingBottom,paddingHorizontal,options,type,target,canPreventDefault,name,merge,color,size",,
15,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/src/views/BottomTabItem.tsx,BottomTabBarItem,Large Component,LOC: 173; Number of props: 31; Number of attributes: 0; Number of methods: 2,,
16,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/src/views/BottomTabItem.tsx,BottomTabBarItem,Too many props,"Number of props: 31; Props: focused,route,descriptor,label,icon,badge,badgeStyle,to,button,accessibilityLabel,testID,onPress,onLongPress,horizontal,activeTintColor,inactiveTintColor,activeBackgroundColor,inactiveBackgroundColor,showLabel,allowFontScaling,labelStyle,iconStyle,style,colors,color,options,position,children,accessibilityRole,accessibilityState,accessibilityStates",,
17,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/src/views/TabBarIcon.tsx,TabBarIcon,Large Component,LOC: 48; Number of props: 14; Number of attributes: 0; Number of methods: 0,,
18,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/src/views/TabBarIcon.tsx,TabBarIcon,Too many props,"Number of props: 14; Props: route,horizontal,badge,badgeStyle,activeOpacity,inactiveOpacity,activeTintColor,inactiveTintColor,renderIcon,style,opacity,focused,size,color",,
19,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/SceneView.js,SceneView,Large Component,LOC: 74; Number of props: 18; Number of attributes: 0; Number of methods: 0,,
20,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/SceneView.js,SceneView,Too many props,"Number of props: 18; Props: screen,route,navigation,routeState,getState,setState,options,clearOptions,addOptionsGetter,key,routes,state,getKey,setKey,getIsInitial,value,name,render",,
