id,Large File,File URL,LOC,N_Components,N_Functions,N_Imports,"Em uma escala de 1 a 5, como você avalia a relevância desse smell?
1 = smell não é importante e, provavelmente, não será refatorado
5 = smell é muito importante e, provavelmente, será refatorado em breve.",Observação
1,index.d.ts,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@babel/types/lib/index.d.ts,3281,0,0,0,,
2,index.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@babel/types/lib/index.js,583,0,0,0,,
3,LogBoxData.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@expo/metro-runtime/build/error-overlay/Data/LogBoxData.js,389,1,25,0,,
4,createBottomTabNavigator.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/commonjs/navigators/createBottomTabNavigator.js,86,5,0,0,,
5,useBottomTabBarHeight.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/commonjs/utils/useBottomTabBarHeight.js,19,3,1,0,,
6,Badge.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/commonjs/views/Badge.js,88,5,0,0,,
7,BottomTabView.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/commonjs/views/BottomTabView.js,134,5,0,0,,
8,ScreenFallback.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/commonjs/views/ScreenFallback.js,50,5,0,0,,
9,BottomTabBar.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/module/views/BottomTabBar.js,301,1,3,14,,
10,BottomTabBar.tsx,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/src/views/BottomTabBar.tsx,393,1,3,22,,
11,BottomTabItem.tsx,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/src/views/BottomTabItem.tsx,334,1,0,16,,
12,BaseNavigationContainer.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/BaseNavigationContainer.js,345,3,1,0,,
13,EnsureSingleNavigator.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/EnsureSingleNavigator.js,43,3,0,0,,
14,PreventRemoveProvider.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/PreventRemoveProvider.js,96,4,1,0,,
15,SceneView.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/SceneView.js,93,4,0,0,,
16,StaticContainer.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/StaticContainer.js,33,3,0,0,,
17,useComponent.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useComponent.js,40,3,1,0,,
18,useCurrentRender.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useCurrentRender.js,27,3,1,0,,
19,useDescriptors.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useDescriptors.js,134,3,2,0,,
20,useFocusEffect.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useFocusEffect.js,79,3,2,0,,
21,useFocusEvents.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useFocusEvents.js,72,3,1,0,,
22,useFocusedListenersChildrenAdapter.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useFocusedListenersChildrenAdapter.js,50,3,1,0,,
23,useIsFocused.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useIsFocused.js,39,3,1,0,,
24,useNavigation.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useNavigation.js,28,3,1,0,,
25,useNavigationBuilder.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useNavigationBuilder.js,457,3,3,0,,
26,useNavigationCache.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useNavigationCache.js,126,3,3,0,,
27,useNavigationContainerRef.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useNavigationContainerRef.js,19,3,1,0,,
28,useNavigationHelpers.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useNavigationHelpers.js,81,3,2,0,,
29,useNavigationState.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useNavigationState.js,37,3,1,0,,
30,useOnAction.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useOnAction.js,103,3,1,0,,
31,useOnGetState.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useOnGetState.js,51,3,1,0,,
32,useOnPreventRemove.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useOnPreventRemove.js,75,3,2,0,,
33,useOnRouteFocus.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useOnRouteFocus.js,38,3,1,0,,
34,useOptionsGetters.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useOptionsGetters.js,81,3,1,0,,
35,usePreventRemove.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/usePreventRemove.js,48,3,1,0,,
36,usePreventRemoveContext.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/usePreventRemoveContext.js,19,3,1,0,,
37,useRoute.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useRoute.js,24,3,1,0,,
38,Background.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/Background.js,28,4,0,0,,
39,Header.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/Header/Header.js,239,4,1,0,,
40,HeaderBackButton.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/Header/HeaderBackButton.js,208,4,0,0,,
41,HeaderBackground.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/Header/HeaderBackground.js,50,4,0,0,,
42,HeaderTitle.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/Header/HeaderTitle.js,49,4,0,0,,
43,useHeaderHeight.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/Header/useHeaderHeight.js,19,3,1,0,,
44,MaskedViewNative.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/MaskedViewNative.js,34,3,0,0,,
45,MissingIcon.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/MissingIcon.js,29,3,0,0,,
46,PlatformPressable.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/PlatformPressable.js,65,4,0,0,,
47,ResourceSavingView.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/ResourceSavingView.js,60,4,0,0,,
48,SafeAreaProviderCompat.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/SafeAreaProviderCompat.js,60,3,0,0,,
49,Screen.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/Screen.js,76,4,0,0,,
50,Link.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/native/lib/commonjs/Link.js,51,4,0,0,,
51,NavigationContainer.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/native/lib/commonjs/NavigationContainer.js,111,5,0,0,,
